Code,Name,Treatments
1,Panic disorder,"Antidepressant medications, Cognitive Behavioral Therapy, Relaxation Techniques"
2,Vocal cord polyp,"Voice Rest, Speech Therapy, Surgical Removal"
3,Turner syndrome,"Growth hormone therapy, Estrogen replacement therapy, Cardiac and renal evaluations"
4,Cryptorchidism,"Observation and monitoring (in cases of mild or transient cryptorchidism), hormone therapy (to stimulate testicular descent), surgical intervention (orchiopexy) to reposition the testicle(s) into the scrotum, if necessary, performed around the age of 6 to 12 months, open or laparoscopic surgery (in cases of high or persistent cryptorchidism), testicular prostheses (in cases of absent or non-functional testicles), regular follow-up visits with a urologist or pediatric surgeon"
5,Ethylene glycol poisoning-1,"Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
6,Ethylene glycol poisoning-2,"Blood tests, Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
7,Ethylene glycol poisoning-3,"Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
8,Atrophic vaginitis,"Vaginal moisturizers, Vaginal estrogen therapy, Lifestyle modifications"
9,Fracture,"Immobilization, Surgery, Rehabilitation"
10,Cellulitis,"Antibiotics, Warm compresses, immobilization, rest, Pain management"
11,Eye alignment disorder,"Glasses, Patching therapy, Vision therapy, Botox injections, Surgical intervention"
12,Headache after lumbar puncture,"Epidural blood patch, Conservative measures"
13,Pyloric stenosis,"Ultrasound, Blood tests, Pyloromyotomy"
14,Adenoid cystic carcinoma,"Surgery, Radiation therapy"
15,Pleomorphic adenoma,Surgical excision
16,Warthin tumor,Surgical excision
17,Mucoepidermoid carcinoma,"Surgery, Radiation therapy"
18,Acinic cell carcinoma,"Surgery, Radiation therapy"
19,Mucocele,"Observation, Surgical removal if necessary"
20,Osteochondrosis,"Physical therapy, pain medications, rest, surgery"
21,Sialolithiasis,"Warm compresses, Saliva stimulation, Sialagogues, Stone removal "
22,Submandibular stones,"Hydration,Saliva stimulation, Stone removal"
23,Parotid stones,"Hydration,Saliva stimulation, Stone removal"
24,Recurrent salivary stones,"Hydration,Saliva stimulation, Stone removal"
25,Wharton's duct stones,"Hydration,Saliva stimulation, Stone removal"
26,Mumps,"Supportive care, pain relievers, isolation, vaccination (MMR)"
27,Ludwig's angina,"Intravenous antibiotics, airway management, surgical drainage"
28,Mucocele,"Observation, surgical removal if necessary"
29,Abscess,"Antibiotics, surgical drainage"
30,Sjögren's syndrome,"Symptomatic relief with artificial tears, saliva substitutes, frequent sips of water, medications to stimulate saliva production, immune-modulating drugs"
31,Open-Angle Glaucoma,"Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
32,Angle-Closure Glaucoma,"Medications (e.g., oral or intravenous acetazolamide, topical beta blockers, alpha agonists, prostaglandin analogs), laser peripheral iridotomy, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
33,Normal-Tension Glaucoma,"Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
34,Congenital Glaucoma,"Surgery (e.g., trabeculotomy, goniotomy) to create a new drainage pathway, medications to reduce intraocular pressure"
35,Secondary Glaucoma,"Treatment of the underlying condition (e.g., medication adjustments, surgery, trauma management, tumor removal, inflammation control)"
36,Pigmentary Glaucoma,"Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
37,Exfoliation Glaucoma,"Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
38,Ocular Hypertension,"Observation with regular eye exams, use of eye drops to lower intraocular pressure (if necessary)"
39,Low-Tension Glaucoma,"Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
40,Anorexia Nervosa,"Medical monitoring, nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medications (in some cases), hospitalization (for severe cases), support groups"
41,Bulimia Nervosa,"Psychotherapy (such as cognitive-behavioral therapy or dialectical behavior therapy), nutritional counseling, medications (in some cases), support groups"
42,Binge Eating Disorder,"Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy), nutritional counseling, medications (in some cases), support groups"
43,Avoidant/Restrictive Food Intake Disorder (ARFID),"Nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medical monitoring, exposure therapy, occupational therapy"
44,Other Specified Feeding or Eating Disorder (OSFED),"Treatment is based on the specific symptoms and can include a combination of psychotherapy, nutritional counseling, medical monitoring, and medications as necessary"
45,Orthorexia Nervosa,"Psychotherapy (such as cognitive-behavioral therapy or acceptance and commitment therapy), nutrition education, challenging distorted beliefs, addressing underlying issues"
46,Pica,"Behavioral therapy, addressing underlying nutritional deficiencies, addressing any medical complications, family support"
47,Rumination Disorder,"Behavioral therapy (such as diaphragmatic breathing techniques), biofeedback, addressing any underlying psychological or medical conditions, dietary modifications"
48,Transient ischemic attack,"Antiplatelet medications, Carotid endarterectomy,  Anticoagulant medications, Lifestyle modifications"
49,Pyelonephritis,"Antibiotics (such as fluoroquinolones, cephalosporins, or trimethoprim-sulfamethoxazole) to target the specific bacteria causing the infection, adequate hydration, pain management (such as over-the-counter pain relievers or prescription medications), hospitalization (for severe cases or complications), urine culture to guide antibiotic therapy"
50,Rotator Cuff Injury,"Non-surgical treatment options: Rest, ice or heat therapy, pain medications, physical therapy exercises, Arthroscopic surgery"
51,Fibromyalgia,"Medications (such as pain relievers, antidepressants, anticonvulsants), physical therapy, cognitive-behavioral therapy, stress management techniques, exercise, relaxation techniques, good sleep hygiene"
52,Chronic Fatigue Syndrome,"Symptom management (such as medications to address pain, sleep disturbances, and other symptoms), graded exercise therapy, cognitive-behavioral therapy, sleep management techniques, pacing and energy conservation, stress reduction techniques, nutritional support, medications for specific symptoms"
53,Complex Regional Pain Syndrome (CRPS),"Medications (such as pain relievers, corticosteroids, anticonvulsants), physical therapy, sympathetic nerve blocks, spinal cord stimulation, occupational therapy, mirror therapy, psychotherapy, graded motor imagery, stress management techniques"
54,Myofascial Pain Syndrome,"Physical therapy, trigger point injections, dry needling, medications (such as pain relievers, muscle relaxants), relaxation techniques, stress management, massage therapy, myofascial release, heat or cold therapy"
55,Chronic Migraine,"Medications (such as preventive medications, pain relievers, triptans), lifestyle modifications (such as identifying triggers, stress management, regular sleep patterns), relaxation techniques, biofeedback, cognitive-behavioral therapy, nerve blocks, Botox injections, neuromodulation devices, acupuncture"
